"company","latitude","longitude","biz_type","naics8_descriptions"
"SAM CHUN GROCERY & FOOD",37.795181,-122.418503,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"STUDIO GALLERY",37.794662,-122.422339,"art","ART DEALERS"
"ART FOR PEOPLE",37.793486,-122.421448,"art","ART DEALERS"
"NOE GROCERY",37.765716,-122.433485,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAFEWAY",37.769137,-122.428043,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GOLDEN NATURAL FOODS",37.768859,-122.429456,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ROSENBERG DELI & MARKET",37.764618,-122.433441,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"S & A LIQUOR",37.767736,-122.431377,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"FRANKLIN MARKET",37.767942,-122.42928,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BELCHER STUDIOS GALLERY",37.768185,-122.429823,"art","ART DEALERS"
"MARC GABBANA WORKS OF ART INC",37.763981,-122.435024,"art","ART DEALERS"
"ART ATTACK SF",37.763503,-122.434578,"art","ART DEALERS"
"JOE'S BARBER SHOP",37.767064,-122.43021,"barber","BARBER SHOPS"
"NIMBUS HAIRCUTS",37.767969,-122.429162,"barber","BARBER SHOPS"
"DOUBLE ROCK GROCERY",37.721227,-122.391394,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"W & D WHOLESALE FOOD INC",37.722634,-122.390075,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GIZMO ART PRODUCTION INC",37.721635,-122.391345,"art","ART DEALERS"
"GIF'D CROWNS",37.72102,-122.395925,"barber","BARBER SHOPS"
"SAFEWAY",37.776471,-122.393037,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GUS'S COMMUNITY MARKET",37.774341,-122.391521,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"LITTLE TREE GALLERY",37.765614,-122.394464,"art","ART DEALERS"
"PROJECT ONE GALLERY LLC",37.766757,-122.402451,"art","ART DEALERS"
"COLONIAL ARTS",37.76655,-122.40324,"art","ART DEALERS"
"GAMUT",37.766069,-122.398971,"art","ART DEALERS"
"SMALL ART MUSIC PROJECTS",37.772956,-122.396321,"art","ART DEALERS"
"STELLA TUMASOVA FINE ART GLLRY",37.781676,-122.388563,"art","ART DEALERS"
"ZEPILIN GALLERY",37.767235,-122.403031,"art","ART DEALERS"
"MUSE TEA LLC",37.755275,-122.434841,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"EMERGENT ART",37.753399,-122.435198,"art","ART DEALERS"
"MARKET MAYFLOWER & DELI",37.789437,-122.413358,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"FOOD & LIQUOR WORLD",37.787791,-122.41391,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TOWN COUNTRY",37.787989,-122.41197,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"7-ELEVEN",37.789025,-122.409084,"grocery","CONVENIENCE STORES"
"FOOD RANGER INC",37.788412,-122.409771,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ROUND THE CLOCK",37.789304,-122.413953,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CANTINA",37.789276,-122.409962,"art","ART DEALERS"
"SPOKE ART",37.788803,-122.413854,"art","ART DEALERS"
"ACADEMY OF ART COLLEGE GALLERY",37.78869,-122.410671,"art","ART DEALERS"
"PASQUALE IANNETTI ART GLLRS",37.789075,-122.409132,"art","ART DEALERS"
"MARK WOLFE CONTEMPORARY ART",37.788843,-122.409392,"art","ART DEALERS"
"BOND LATIN GALLERY",37.788224,-122.409759,"art","ART DEALERS"
"TYLER WOOD GALLERY",37.788801,-122.413348,"art","ART DEALERS"
"HASHIMOTO CONTEMPORARY",37.788803,-122.413854,"art","ART DEALERS"
"STOOKEYS CLUB MODERNE",37.789633,-122.411823,"art","ART DEALERS"
"GALLERY 444",37.788487,-122.409186,"art","ART DEALERS"
"ARGONAUT BOOK SHOP",37.788801,-122.413348,"art","ART DEALERS"
"ART CURTIS",37.736661,-122.45312,"art","ART DEALERS"
"GUM SHING MARKET INC",37.797014,-122.408029,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TAI HING INC",37.797487,-122.408224,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KIN TAT CO",37.797468,-122.408371,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"JING YE CO",37.797468,-122.408371,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"J & L VEGI SUPERMARKET INC",37.79693,-122.408748,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MAY SUN MARKET LLC",37.797007,-122.407062,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"DONG HING",37.797007,-122.408344,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"J & L MARKET",37.79693,-122.408748,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HAPPINESS GROCERY STORE",37.797173,-122.406366,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TEA FEVA",37.796819,-122.410343,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"PANG KEE BARGAIN MARKET",37.797865,-122.408439,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SUN KAU SHING CO INC",37.798437,-122.408434,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAVE SUPERMARKET",37.79693,-122.408748,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NORTHBEACH BAUHAUS",37.801131,-122.411632,"art","ART DEALERS"
"DREAMING ROOM",37.797396,-122.40641,"art","ART DEALERS"
"STARLIGHT MARKET",37.784968,-122.413002,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GONG CHA",37.786456,-122.409248,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"EVER GOLD GALLERY",37.785647,-122.411971,"art","ART DEALERS"
"TANGENT CONTEMPORARY ART",37.787079,-122.409331,"art","ART DEALERS"
"C K CONTEMPORARY",37.787107,-122.409121,"art","ART DEALERS"
"CHANDRAN GALLERY",37.786743,-122.410816,"art","ART DEALERS"
"SCOTT RICHARDS CONTEMPARY ART",37.787079,-122.409331,"art","ART DEALERS"
"SILVERMAN GALLERY",37.784818,-122.414183,"art","ART DEALERS"
"FRANKLIN BOWLES GALLERIES",37.78712,-122.409015,"art","ART DEALERS"
"WEINSTEIN GALLERY",37.786997,-122.409475,"art","ART DEALERS"
"KEANE EYES GALLERY",37.78712,-122.409015,"art","ART DEALERS"
"BATTAMBANG MARKET",37.783665,-122.4132,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"DALDAS GROCERY",37.784332,-122.411263,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"EDDY BARBER SHOP",37.78409,-122.41317,"barber","BARBER SHOPS"
"BEL CLIFT FOOD SHOP",37.787165,-122.412055,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"STAR MARKET-LIQUOR WITH",37.786408,-122.414533,"grocery","CONVENIENCE STORES"
"ABADI",37.787667,-122.408458,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAN FRANCISCO ART EXCHANGE LLC",37.787308,-122.410939,"art","ART DEALERS"
"MARTIN LAWRENCE GALLERIES",37.787404,-122.409408,"art","ART DEALERS"
"ASAKA FINE ARTS",37.787624,-122.41219,"art","ART DEALERS"
"CALIFORNIA GROCERY",37.784034,-122.409621,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"EL DORADO MARKET",37.782526,-122.412086,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"EQUATOR COFFEES & TEAS",37.7826,-122.410204,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"WARFIELD AEG",37.782694,-122.410353,"barber","BARBER SHOPS"
"SUPER SAM FOOD",37.779575,-122.423235,"grocery","CONVENIENCE STORES"
"CITY & COUNTY OF SAN FRANCISCO",37.775695,-122.419571,"art","ART DEALERS"
"ACOTE",37.776233,-122.426063,"art","ART DEALERS"
"CHURCH BARBER LLC",37.776977,-122.424505,"barber","BARBER SHOPS"
"COLLEGE MARKET",37.783396,-122.422379,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"USA MARKET",37.782773,-122.422554,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GROCERY HYDE",37.782355,-122.415888,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MARYLAND MKT",37.782907,-122.414253,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CADILLAC GROCERY",37.783336,-122.415667,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NEW PRINCESS MARKET",37.783631,-122.41608,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SOUL FOOD CITY",37.783562,-122.414425,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"T & L FOOD MARKET",37.783562,-122.414425,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GOLDEN GATE MARKET",37.783075,-122.414284,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KK COPYING & PRINTING",37.782614,-122.417139,"art","ART DEALERS"
"LUGGAGE STORE ANNEX",37.784469,-122.414619,"art","ART DEALERS"
"STARCO MART",37.778692,-122.408924,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CITY PRODUCE",37.779894,-122.407595,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CUMAICA COFFEE",37.77587,-122.41607,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"HUDSON 1455 MARKET",37.775466,-122.417876,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"DAVIDSTEA",37.784105,-122.406158,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"AYTM ASK YOUR TARGET MARKET",37.775087,-122.415199,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"3 TEAS LLC",37.778444,-122.413493,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"GO GO DELI MARKET",37.776425,-122.414709,"grocery","CONVENIENCE STORES"
"PROJECT GREENBAG",37.778326,-122.412825,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BURMA LOVE NATURAL FOODS",37.781089,-122.408172,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SHARE TEA WESTFIELD",37.784376,-122.406334,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"SHARETEA",37.784376,-122.406334,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"M & M DE VERA PROPERTIES",37.779469,-122.408881,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"IMPACT HUB",37.782159,-122.406614,"art","ART DEALERS"
"1AM SF",37.779709,-122.40761,"art","ART DEALERS"
"SAN FRANCISCO FILIPINO CLTRL",37.78441,-122.404958,"art","ART DEALERS"
"ART ON WOOD",37.784376,-122.406334,"art","ART DEALERS"
"MEDIATE ART GROUP",37.782159,-122.406614,"art","ART DEALERS"
"ART PROCESSORS INC",37.780969,-122.406013,"art","ART DEALERS"
"FELLOW BARBER",37.782429,-122.409363,"barber","BARBER SHOPS"
"ABE BARBER SHOP",37.781643,-122.407687,"barber","BARBER SHOPS"
"HAYES MARKET",37.776471,-122.427795,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TIM'S MARKET",37.77568,-122.4313,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KEY FOOD MARKET",37.774183,-122.43106,"grocery","CONVENIENCE STORES"
"CHEERS ON DEMAND",37.777503,-122.431667,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"TUONG PHONG MARKET",37.784599,-122.416664,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GEARY & HYDE MARKET",37.786551,-122.416323,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HYDE O'FARRELL MARKET",37.785225,-122.416517,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"AMIGO MARKET",37.78481,-122.414729,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAN FRANCISCO CHEESEQUAKE",37.785245,-122.415134,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CROWN MARKET",37.786615,-122.415162,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MID CITY MARKET & DELI",37.786452,-122.417659,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KOKORO STUDIO",37.78462,-122.416496,"art","ART DEALERS"
"LOOK GALLERY",37.786669,-122.415108,"art","ART DEALERS"
"GOLDEN DOOR BARBERSHOP",37.786676,-122.41588,"barber","BARBER SHOPS"
"TRADER JOE'S",37.771033,-122.407327,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"PEKOE TEA CO",37.777238,-122.395591,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"ARTHAUS",37.778271,-122.393898,"art","ART DEALERS"
"CHRISTOPHER GRUBBS ILLUSTRATOR",37.778168,-122.395791,"art","ART DEALERS"
"K C ART & DESIGN INC",37.773108,-122.408687,"art","ART DEALERS"
"ANDREA SCHWARTZ GALLERY",37.779057,-122.397197,"art","ART DEALERS"
"IAN ROSS GALLERY",37.779031,-122.396052,"art","ART DEALERS"
"ART PRACTICAL",37.779057,-122.397197,"art","ART DEALERS"
"HAIGHT & FILLMORE FOOD",37.771855,-122.430673,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ABES MARKET",37.772911,-122.430488,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"S & W",37.772119,-122.42861,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HAIGHT STREET ART CTR",37.772688,-122.42578,"art","ART DEALERS"
"CHERRY ART STUDIO",37.742429,-122.486631,"art","ART DEALERS"
"SCK SALON",37.742791,-122.478164,"barber","BARBER SHOPS"
"K & D MARKET",37.764527,-122.423654,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RANDAS MARKET",37.764661,-122.422575,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SPOTLIGHT MARKET",37.766529,-122.424486,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HORN'S GROCERY",37.763303,-122.423743,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KATEA",37.76513,-122.422626,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"FOULADI PROJECTS",37.77144,-122.423673,"art","ART DEALERS"
"CREATIVITY EXPLORED LICENSING",37.764603,-122.424822,"art","ART DEALERS"
"MERIDIAN GALLERY",37.763453,-122.422057,"art","ART DEALERS"
"DOG BARBER",37.770499,-122.424827,"barber","BARBER SHOPS"
"EMERSON JENNY",37.764161,-122.407923,"art","ART DEALERS"
"REQUISITE BARBER",37.762095,-122.406867,"barber","BARBER SHOPS"
"J SOSA BARBER CONSULTING",37.761412,-122.40684,"barber","BARBER SHOPS"
"7-ELEVEN",37.742671,-122.490058,"grocery","CONVENIENCE STORES"
"JIM'S SMOKE SHOP",37.760784,-122.387817,"grocery","CONVENIENCE STORES"
"LOOP NEIGHBORHOOD MARKET",37.753114,-122.388183,"grocery","CONVENIENCE STORES"
"ALTER ECO",37.759935,-122.38819,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SWELL GALLERY",37.757084,-122.387929,"art","ART DEALERS"
"SAN FRANCISCO MSM-CRAFT-DESIGN",37.756495,-122.387322,"art","ART DEALERS"
"RENA BRANSTEN GALLERY",37.754257,-122.389394,"art","ART DEALERS"
"ALTMAN SIEGEL GALLERY",37.753144,-122.39026,"art","ART DEALERS"
"IDEAS MONEY ART",37.753722,-122.388372,"art","ART DEALERS"
"ADRIAN ROSENFELD GALLERY",37.753144,-122.39026,"art","ART DEALERS"
"SAFEWAY",37.796567,-122.398839,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"RJ'S MARKET",37.8033,-122.40337,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"FROG HOLLOW FARM MKT",37.795562,-122.392114,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"VILLAGE MARKET KABO",37.795562,-122.392114,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BARSOTTI BROTHERS INC",37.795562,-122.392114,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GENDELL GALLERY-PHOTOGRAPHS",37.795301,-122.391945,"art","ART DEALERS"
"CASEY & ASSOC",37.799417,-122.400936,"art","ART DEALERS"
"TWENTY2PRODUCT",37.796702,-122.397784,"art","ART DEALERS"
"HOLLOWAY JAN 20TH CENTURY AMER",37.795301,-122.391945,"art","ART DEALERS"
"NOB HILL GLLRY & ART ADVISORY",37.798425,-122.397972,"art","ART DEALERS"
"PRO-STYLE BARBER SHOP",37.794953,-122.397311,"barber","BARBER SHOPS"
"18/8 FINE MEN'S SALONS",37.794644,-122.399644,"barber","BARBER SHOPS"
"BLADES CO",37.795301,-122.391945,"barber","BARBER SHOPS"
"EDDIE'S HAIRSTYLING",37.7951,-122.3982,"barber","BARBER SHOPS"
"CHIOTRAS GROCERY",37.758943,-122.40218,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"WHOLE FOODS MARKET",37.764134,-122.402576,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GOOD LIFE GROCERY",37.760226,-122.396844,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NEW POTRERO MARKET",37.762463,-122.395794,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SAN FRANCISCO ROASTING WORKS",37.763719,-122.395192,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"FARLEYS",37.762457,-122.395979,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"MURAL ARTS",37.764308,-122.39639,"art","ART DEALERS"
"BATLE A S",37.76356,-122.395002,"art","ART DEALERS"
"COLLAGE GALLERY",37.762474,-122.395999,"art","ART DEALERS"
"FLO'S BARBER SHOP",37.760176,-122.397056,"barber","BARBER SHOPS"
"POTRERO TERRACE MARKET",37.754967,-122.398912,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"KANSAS FOOD MARKET",37.754755,-122.402411,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"M & W MARKETS",37.755013,-122.397941,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ROMER YOUNG GALLERY",37.757721,-122.393523,"art","ART DEALERS"
"WONKOW FOOD PRODUCTS",37.793529,-122.407575,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"LOVELL'S GALLERY",37.792732,-122.40617,"art","ART DEALERS"
"J C MARKET",37.795964,-122.408866,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"PACIFIC SEAFOOD TRADING CO",37.79635,-122.408729,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"NOODLE CITY",37.795495,-122.410128,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"SHENG HING MARKET INC",37.795979,-122.408538,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"MEI'S GROCERIES INC",37.795538,-122.408494,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"GOLDEN MOUNTAIN MARKET",37.795889,-122.40903,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"HAN PALACE",37.795718,-122.410144,"art","ART DEALERS"
"WALTER ELLINGWOOD III",37.795253,-122.411322,"art","ART DEALERS"
"COTTAGE MARKET",37.790051,-122.410455,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"E & E FINE FOODS",37.790947,-122.408722,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"BUSH MARKET",37.790133,-122.410888,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ENOUGH TEA & COFFEE LLC",37.790852,-122.408015,"coffee","ALL OTHER SPECIALTY FOOD STORES"
"H & L SUPER MARKET INC",37.791019,-122.40771,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"ESTILO BARBERSHOP & SPA",37.790021,-122.411789,"barber","BARBER SHOPS"
"D JURDJURA BARBER SALON LLC",37.790021,-122.411789,"barber","BARBER SHOPS"
"VJ GROCERY",37.793269,-122.412639,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
"CHICOS MARKET",37.792071,-122.415677,"grocery","SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS"
